gene	cor	p	phase
ENSG00000049541	0.339957879747675	2.3565116888056e-25	S
ENSG00000164292	0.273791240904829	1.15410201138768e-16	S
ENSG00000117748	0.310811779027279	2.98115341688981e-21	S
ENSG00000167325	0.388420924546887	3.26956061900701e-33	S
ENSG00000171848	0.496071221550144	4.27362926603307e-56	S
ENSG00000111011	0.205052124811505	7.57853688925893e-10	S
ENSG00000161526	0.223835931047143	1.6816301243087e-11	S
ENSG00000134294	0.228749911134652	5.85783336857577e-12	S
ENSG00000185591	0.267936535549517	5.33225626580469e-16	S
ENSG00000100650	0.121337478892607	0.000299322259751742	S
ENSG00000198168	0.273299419842066	1.31432983491639e-16	S
ENSG00000131747	0.444764491422919	3.66391373933674e-44	S
ENSG00000176890	0.317624350618329	3.59227039439195e-22	S
ENSG00000077152	0.436521173978975	1.98903735639382e-42	S
ENSG00000162607	0.480359837781821	3.18247472264433e-52	S
ENSG00000122952	0.336151875564665	8.58030544680415e-25	S
ENSG00000011426	0.506396661366241	9.42251279985337e-59	G2_M
ENSG00000065000	0.0728794456360504	0.0302594553967212	G2_M
ENSG00000122644	0.248361710752445	6.80578035386967e-14	G2_M
ENSG00000104442	0.327239552563805	1.64937515603206e-23	G2_M
ENSG00000171456	0.175805107549528	1.43515252996524e-07	G2_M
ENSG00000178999	0.595467552053468	6.21391365491678e-86	G2_M
ENSG00000029363	0.23155994451805	3.16993397029238e-12	G2_M
ENSG00000154473	0.38688579210976	6.08764509025038e-33	G2_M
ENSG00000094916	0.103800850066709	0.00200018154785481	G2_M
ENSG00000159884	0.164731995243774	8.45396476737482e-07	G2_M
ENSG00000145386	0.599605573508111	2.07614290104299e-87	G2_M
ENSG00000130177	0.213231691514394	1.5070337404927e-10	G2_M
ENSG00000111665	0.519813026834674	2.41743755836605e-62	G2_M
ENSG00000134690	0.62212137866778	7.82642660566439e-96	G2_M
ENSG00000170312	0.617884289188286	3.39751031558854e-94	G2_M
ENSG00000123080	0.356684272930073	6.48181006595384e-28	G2_M
ENSG00000120334	0.39694036920557	9.77422711655108e-35	G2_M
ENSG00000135837	0.23536044100061	1.36392536621687e-12	G2_M
ENSG00000197766	0.128142404138216	0.000133280359572486	G2_M
ENSG00000136108	0.479512478141548	5.08067730797983e-52	G2_M
ENSG00000136485	0.315304408454374	7.4303568970949e-22	G2_M
ENSG00000067596	0.261654343097823	2.64337243333097e-15	G2_M
ENSG00000132002	0.358022651795279	3.98176268503149e-28	G2_M
ENSG00000168040	0.235336865348766	1.37114204127726e-12	G2_M
ENSG00000101447	0.556753084509968	4.18793283932688e-73	G2_M
ENSG00000104064	0.175536131307178	1.50036530722475e-07	G2_M
ENSG00000188486	0.511720298937503	3.70225722590687e-60	G2_M
ENSG00000164104	0.565453507605231	7.69040403065712e-76	G2_M
ENSG00000127483	0.262253603955924	2.27318529008164e-15	G2_M
ENSG00000142166	0.197204918491127	3.3554544278995e-09	G2_M
ENSG00000183856	0.101243580920836	0.00258103712157306	G2_M
ENSG00000170759	0.297455990652169	1.61294373356538e-19	G2_M
ENSG00000138182	0.593871893702499	2.27431698702993e-85	G2_M
ENSG00000137807	0.542274583413736	9.99585349139959e-69	G2_M
ENSG00000067082	0.180294414726389	6.76732142113629e-08	G2_M
ENSG00000182481	0.477249128961725	1.76108122824026e-51	G2_M
ENSG00000143815	0.316809708342241	4.64004484991055e-22	G2_M
ENSG00000271601	0.175918940703783	1.40838588669199e-07	G2_M
ENSG00000113368	0.405375165410366	2.73109909999069e-36	G2_M
ENSG00000164109	0.409140872813009	5.34707934953971e-37	G2_M
ENSG00000251562	0.218176939726316	5.49614838487422e-11	G2_M
ENSG00000165304	0.499828148919518	4.72811916708156e-57	G2_M
ENSG00000168282	0.228086924181612	6.76315154520746e-12	G2_M
ENSG00000129534	0.460366736892361	1.40415425982944e-47	G2_M
ENSG00000151503	0.263039379925272	1.86407704880645e-15	G2_M
ENSG00000141905	0.113975104097636	0.000686292923288719	G2_M
ENSG00000164190	0.184070342894507	3.54322316604304e-08	G2_M
ENSG00000113580	0.191767757775868	9.08313599740999e-09	G2_M
ENSG00000069275	0.266706674031735	7.3194097714576e-16	G2_M
ENSG00000137497	0.207080257843864	5.10890313609734e-10	G2_M
ENSG00000137804	0.515942578800563	2.72744513668258e-61	G2_M
ENSG00000184203	0.144269775139305	1.6628957625895e-05	G2_M
ENSG00000108671	0.130197230901495	0.00010355828303123	G2_M
ENSG00000100401	0.291658543467733	8.55526248312865e-19	G2_M
ENSG00000166965	0.445757032888829	2.24824078104762e-44	G2_M
ENSG00000072042	0.238047210670198	7.44693273307025e-13	G2_M
ENSG00000110315	0.142581411686786	2.09040585296393e-05	G2_M
ENSG00000164105	0.389525151474005	2.08650537245745e-33	G2_M
ENSG00000113810	0.507819086600088	3.99031412366999e-59	G2_M
ENSG00000115415	0.221976757407236	2.49027091382478e-11	G2_M
ENSG00000137203	0.306749044627303	1.02600205945038e-20	G2_M
ENSG00000102265	0.104186529248134	0.00192380357348292	G2_M
ENSG00000167920	0.270550316082517	2.7050871165817e-16	G2_M
ENSG00000120802	0.39130164122773	1.00931497178784e-33	G2_M
ENSG00000131747	0.711378700581316	3.06872651328647e-137	G2_M
ENSG00000099899	0.150968921636659	6.53984744502148e-06	G2_M
ENSG00000116830	0.387017120809861	5.77311953768561e-33	G2_M
ENSG00000196230	0.532520268306962	6.77717746056097e-66	G2_M
ENSG00000188229	0.505054906768711	2.1113093789689e-58	G2_M
ENSG00000137831	0.267019524108983	6.75382761618524e-16	G2_M
ENSG00000175063	0.632055018342152	8.99267607614302e-100	G2_M
ENSG00000131475	0.26061542468795	3.43050417588049e-15	G2_M
ENSG00000109046	0.288742183198093	1.95202187173615e-18	G2_M
ENSG00000135541	0.0772151809290535	0.0216785977460822	M
ENSG00000154945	0.0691334462563067	0.0398755406319703	M
ENSG00000011426	0.553738947057418	3.55743864530358e-72	M
ENSG00000136938	0.16213239036365	1.26091200879863e-06	M
ENSG00000143401	0.392828068071895	5.3887007406136e-34	M
ENSG00000170540	0.620814947654963	2.5186496791441e-95	M
ENSG00000171456	0.192841067503695	7.47901040792369e-09	M
ENSG00000087586	0.639849573974244	5.75814146839521e-103	M
ENSG00000110330	0.124906712356334	0.000196808387546792	M
ENSG00000089685	0.506391497460437	9.45188065871657e-59	M
