PHASE	Cell	PC1	PC2	time
G1/S	C236	5.25128566665076	2.33911381600065	0
G1/S	C241	2.72448499031313	2.58792991965256	0
G1/S	C248	1.24123485368554	3.68927957127107	0
G1/S	C255	3.26886281979404	1.14689715964234	0
G1/S	C256	3.86653832353672	1.91555421357351	0
G1/S	C258	9.28481846571985	-1.62540881534473	0
G1/S	C260	1.07068198715359	2.42686711629732	0
G1/S	C261	2.86131543734598	2.37021242842826	0
G1/S	C265	4.70192232614928	-1.07692313976219	0
G1/S	C267	4.57357649624684	1.59579898590417	0
G1/S	C269	3.03504529837752	3.87956086350776	0
G1/S	C271	-1.088624985364	4.36619912370736	0
G1/S	C274	1.65142548312783	-0.558961249073294	0
G1/S	C276	2.80420680298204	-3.31688227893434	0
G1/S	C280	4.09097981372515	2.44697467118794	0
G1/S	C284	3.77271013520102	-2.09194542408751	0
G1/S	C295	3.50847412002088	2.67921827141762	0
G1/S	C296	3.35219973867168	2.71874923836554	0
G1/S	C298	5.08396928519789	0.817516750947218	0
G1/S	C301	4.8742505656524	-1.72478406768232	0
G1/S	C303	3.64150051801505	1.22163761916772	0
G1/S	C305	3.58068314530682	2.24339503070321	0
G1/S	C312	-0.699347527831448	4.42353105266866	0
G1/S	C315	2.89750793101428	1.85937849329145	0
G1/S	C316	3.26895313332969	2.71856975018515	0
G1/S	C321	1.48610638646718	2.72888776773827	0
G1/S	C323	4.34022552529621	-0.838893179094107	0
G1/S	C327	7.07054628434321	-1.04793733217364	0
G1/S	C329	5.94613010548055	0.484339412666138	0
G1/S	C331	0.213420794071684	3.1303492552132	0
G1/S	C334	6.02684753257143	-0.468527242963494	0
G1/S	C337	5.53200479142518	0.496850521459414	0
G1/S	C338	3.25601188107768	-2.38274187400338	0
G1/S	C340	0.350202890585263	2.59991917705249	0
G1/S	C342	2.41815213801098	0.229993000066402	0
G1/S	C344	7.08049712064511	0.822125704394138	0
G1/S	C346	3.77860219937079	1.29722970248929	0
G1/S	C350	1.65511831938345	2.27681870615512	0
G1/S	C351	1.5647176895792	1.75687259647082	0
G1/S	C354	-1.30357185789303	5.30319103842675	0
G1/S	C362	0.170856140490588	3.95624365490742	0
G1/S	C365	2.08370743853311	2.76699637328499	0
G1/S	C366	0.486010193132362	1.78997268067208	0
G1/S	C369	10.2217629289099	-2.48416770234148	0
G1/S	C371	-0.679564038626282	4.43328491550511	0
G1/S	C373	1.96610122903685	-0.632761257471282	0
G1/S	C374	-0.746031925905728	2.37005537571447	0
G1/S	C375	5.90311746171799	0.156586910583787	0
G1/S	C385	1.80582803522866	2.5229513864365	0
G1/S	C386	1.23146530748972	4.57651228777795	0
G1/S	C389	3.02223344734805	2.5159404240708	0
G1/S	C390	1.63305921347838	2.39398370441442	0
G1/S	C394	4.84095555425684	0.574264649276902	0
G1/S	C395	-5.00430004419199	4.76667690480869	0
G1/S	C397	6.63463718376451	-2.51528397261915	0
G1/S	C398	5.47094733607531	-3.16652350549481	0
G1/S	C400	3.60262368747503	2.6732909547329	0
G1/S	C401	3.2589603599764	0.750154408563236	0
G1/S	C402	1.73212652207105	0.702026285505438	0
G1/S	C407	0.718090255666147	3.97724354529924	0
G1/S	C408	14.6320508078383	-8.72930119098529	0
G1/S	C410	4.09460276593021	1.02886109761134	0
G1/S	C411	-0.944839251400962	3.59457884818169	0
G1/S	C414	0.883312371467935	2.14719639758624	0
G1/S	C419	2.51061478427643	0.650091048736738	0
G1/S	C421	0.951820678331537	4.88535403688799	0
G1/S	C427	0.611102253197702	4.97504987727216	0
G1/S	C428	1.02463140758274	1.38675879330694	0
G1/S	C434	6.39571484712973	-3.45552416927275	0
G1/S	C436	9.8968346232457	-2.62635026585097	0
G1/S	C440	4.81823398143432	1.08026750433195	0
G1/S	C446	2.98764921104	4.07762220475832	0
