"cx" "sd" "size" "expr_size" "expr"
"256" "COM_1653" 1.17232300023562 3 0 "no"
"257" "COM_1656" NA 1 1 "expr"
"258" "COM_1657" 0.108671204921634 2 1 "no"
"259" "COM_1658" 0.720557573805602 3 0 "no"
"260" "COM_1659" 0.222753038316213 7 3 "no"
"261" "COM_166" 0.369708584358791 4 1 "no"
"262" "COM_1660" 0.232031632569263 3 0 "no"
"263" "COM_1661" 0.457801276410341 11 2 "no"
"264" "COM_1662" 0.319753797610941 3 0 "no"
"265" "COM_1663" 0.0403606432825672 4 2 "no"
"266" "COM_1664" 0.077587022451146 4 2 "no"
"267" "COM_1665" 0.274133434852894 3 1 "no"
"268" "COM_1666" 0.738600502822914 8 3 "no"
"269" "COM_1668" 0.0262761621484142 3 2 "expr"
"270" "COM_167" 0.213374693338118 3 1 "no"
"271" "COM_1670" 0.104974846691858 3 1 "no"
"272" "COM_1671" 0.88374223162492 4 2 "no"
"273" "COM_1672" 0.222252557429631 5 2 "no"
"274" "COM_1674" 0.598651932539411 5 0 "no"
"275" "COM_1675" 0.481794027621995 5 1 "no"
"276" "COM_1676" 0.363522176473741 4 1 "no"
"277" "COM_1677" 0.178958284665019 4 0 "no"
"278" "COM_1678" 0.443900211531418 3 1 "no"
"279" "COM_1679" 0.0426606982049586 3 1 "no"
"280" "COM_168" 0.145495073252327 3 1 "no"
"281" "COM_1680" NA 1 0 "no"
"282" "COM_1682" 0.610462487247707 29 5 "no"
"283" "COM_1683" 0.314137143196182 5 1 "no"
"284" "COM_1684" 0.81023189144805 9 0 "no"
"285" "COM_1685" 0.697338679379333 18 4 "no"
"286" "COM_1686" 0.386340559417249 3 0 "no"
"287" "COM_1687" 0.645611123580638 17 3 "no"
"288" "COM_1688" 0.664694682005117 15 2 "no"
"289" "COM_169" 0.877558244688302 6 2 "no"
"290" "COM_1690" 0.457932513361653 8 2 "no"
"291" "COM_1691" 0.671944306402563 17 4 "no"
"292" "COM_1693" 0.630126750920253 12 4 "no"
"293" "COM_1694" 0.717296301511375 10 2 "no"
"294" "COM_1698" 0.595815828410466 9 4 "no"
"295" "COM_1699" 0.662865809373794 7 2 "no"
"296" "COM_17" 0.196368826061089 3 1 "no"
"297" "COM_1700" 0.0818139368633341 3 0 "no"
"298" "COM_1701" 0.881781885623639 9 4 "no"
"299" "COM_1704" 0.175547396004432 9 3 "no"
"300" "COM_1705" 0.885252106007053 9 3 "no"
"301" "COM_1706" 0.134348150218557 3 2 "expr"
"302" "COM_171" 0.224610099951068 3 0 "no"
"303" "COM_1712" 0.956950882342915 4 1 "no"
"304" "COM_1713" 0.960494431989607 4 1 "no"
"305" "COM_1714" 0.959199614487721 4 1 "no"
"306" "COM_1715" 0.111330316359825 3 1 "no"
"307" "COM_1716" 0.310459265505547 3 0 "no"
"308" "COM_1717" 0.117327503099208 3 0 "no"
"309" "COM_1718" 0.211898140153902 3 1 "no"
"310" "COM_172" 1.32575581184761 3 0 "no"
"311" "COM_1720" 0.349862191116779 6 0 "no"
"312" "COM_1723" 0.435985437916034 3 1 "no"
"313" "COM_1724" 0.222859891360631 3 1 "no"
"314" "COM_1725" 0.161163989369602 4 3 "expr"
"315" "COM_1726" 0.368206560898579 15 5 "no"
"316" "COM_1727" 0.291271369006178 17 6 "no"
"317" "COM_1728" 0.342026325518166 16 5 "no"
"318" "COM_173" 0.724162543946401 3 0 "no"
"319" "COM_1736" 0.326576001360239 3 0 "no"
"320" "COM_1738" 0.263971236410038 3 0 "no"
"321" "COM_1740" 0.297502866459281 10 2 "no"
"322" "COM_1741" 0.645322732163087 11 1 "no"
"323" "COM_1742" 0.863383119427817 5 1 "no"
"324" "COM_1744" 0.356812871880581 3 1 "no"
"325" "COM_1749" 0.172381479908265 4 2 "no"
"326" "COM_175" 0.204491641472855 4 1 "no"
"327" "COM_1750" 0.57507014321698 2 0 "no"
"328" "COM_1751" 0.254748836967968 4 2 "no"
"329" "COM_1753" 0.163786274537205 3 0 "no"
"330" "COM_1754" 1.25767554483403 3 1 "no"
"331" "COM_1755" 0.101838440962703 3 1 "no"
"332" "COM_1759" 0.801034554178249 3 0 "no"
"333" "COM_176" 0.717312543708463 6 0 "no"
"334" "COM_1761" 0.474071157723782 3 2 "expr"
"335" "COM_1764" 0.292459045467261 5 2 "no"
"336" "COM_1765" 0.294367327893279 5 1 "no"
"337" "COM_1766" 0.278231619578652 3 1 "no"
"338" "COM_1767" 0.322157619978663 3 1 "no"
"339" "COM_1768" 0.614114354004438 4 2 "no"
"340" "COM_177" 0.0761131363703067 3 1 "no"
"341" "COM_1771" 0.533731264915092 3 0 "no"
"342" "COM_1772" 0.307344877126842 3 0 "no"
"343" "COM_1773" 0.590910617028244 3 1 "no"
"344" "COM_1779" 0.17741140989835 4 2 "no"
"345" "COM_178" 0.141345664685373 3 0 "no"
"346" "COM_1780" NA 1 0 "no"
"347" "COM_1781" 0.171685339607922 3 1 "no"
"348" "COM_1782" 0.16210309282833 3 1 "no"
"349" "COM_1783" 0.395636896729071 3 1 "no"
"350" "COM_1784" 0.297858855594386 4 0 "no"
"351" "COM_179" 0.0589211128493742 3 0 "no"
"352" "COM_180" 0.906501737758298 3 0 "no"
"353" "COM_181" 0.259056462256971 4 1 "no"
"354" "COM_185" 0.0597377408906592 3 1 "no"
"355" "COM_187" 0.245713799064676 3 0 "no"
"356" "COM_191" 0.337138385826569 3 2 "expr"
