"cell" "Complex" "sd"
"224" "BG01_ESC" "COM_1601" 1.72210319407282
"225" "BG01_ESC" "COM_1603" 0.55244439146886
"226" "BG01_ESC" "COM_1604" 0.564124377605922
"227" "BG01_ESC" "COM_1607" 0.631874766088012
"228" "BG01_ESC" "COM_1608" 0.624144339784068
"229" "BG01_ESC" "COM_1609" 0.847648118916083
"230" "BG01_ESC" "COM_161" 1.2303881100362
"231" "BG01_ESC" "COM_1611" 0.919715779446487
"232" "BG01_ESC" "COM_1612" 0.601824681262017
"233" "BG01_ESC" "COM_1617" 0.595431611406426
"234" "BG01_ESC" "COM_1619" 0.967263443473615
"235" "BG01_ESC" "COM_162" 1.54493910888733
"236" "BG01_ESC" "COM_1622" 0.74810787263284
"237" "BG01_ESC" "COM_1623" 0.936834016825538
"238" "BG01_ESC" "COM_1624" 1.27203828149973
"239" "BG01_ESC" "COM_1629" 0.781050425041291
"240" "BG01_ESC" "COM_163" 1.57820754292324
"241" "BG01_ESC" "COM_1630" 0.657259279175815
"242" "BG01_ESC" "COM_1631" 0.664956112622057
"243" "BG01_ESC" "COM_1635" 1.80585511713645
"244" "BG01_ESC" "COM_1636" 1.21968929972774
"245" "BG01_ESC" "COM_1638" 1.04945261530807
"246" "BG01_ESC" "COM_1639" 0.913299163377236
"247" "BG01_ESC" "COM_1644" 0.723358707293493
"248" "BG01_ESC" "COM_1645" 0.995460177436077
"249" "BG01_ESC" "COM_1646" 0.6770815775109
"250" "BG01_ESC" "COM_1647" 1.3160991196749
"251" "BG01_ESC" "COM_1648" 0.895726607110862
"252" "BG01_ESC" "COM_1649" 0.0403424572372374
"253" "BG01_ESC" "COM_165" 0.956759707968951
"254" "BG01_ESC" "COM_1650" 0.608340650317703
"255" "BG01_ESC" "COM_1651" 0.579103133722635
"256" "BG01_ESC" "COM_1652" 0.9862872226407
"257" "BG01_ESC" "COM_1653" 1.417859352676
"258" "BG01_ESC" "COM_1656" NA
"259" "BG01_ESC" "COM_1657" 0.837019435771706
"260" "BG01_ESC" "COM_1658" 1.02340720292935
"261" "BG01_ESC" "COM_1659" 0.258134495269734
"262" "BG01_ESC" "COM_166" 0.681728225012187
"263" "BG01_ESC" "COM_1660" 0.161815223762772
"264" "BG01_ESC" "COM_1661" 0.986283965141336
"265" "BG01_ESC" "COM_1662" 0.293434665438464
"266" "BG01_ESC" "COM_1663" 0.1705494903661
"267" "BG01_ESC" "COM_1664" 0.227006276316794
"268" "BG01_ESC" "COM_1665" 0.461138776495346
"269" "BG01_ESC" "COM_1666" 1.10869647254272
"270" "BG01_ESC" "COM_1668" 0.442443583241978
"271" "BG01_ESC" "COM_167" 1.10208649813992
"272" "BG01_ESC" "COM_1670" 0.261439705389718
"273" "BG01_ESC" "COM_1671" 0.899323284713652
"274" "BG01_ESC" "COM_1672" 0.486765877357957
"275" "BG01_ESC" "COM_1674" 0.617193216612156
"276" "BG01_ESC" "COM_1675" 1.11083431356174
"277" "BG01_ESC" "COM_1676" 0.507272115837299
"278" "BG01_ESC" "COM_1677" 1.37631117960782
"279" "BG01_ESC" "COM_1678" 0.835992289269728
"280" "BG01_ESC" "COM_1679" 0.630712660488837
"281" "BG01_ESC" "COM_168" 0.286834183350283
"282" "BG01_ESC" "COM_1680" NA
"283" "BG01_ESC" "COM_1682" 0.836678780800245
"284" "BG01_ESC" "COM_1683" 0.331413389453096
"285" "BG01_ESC" "COM_1684" 0.881727248417492
"286" "BG01_ESC" "COM_1685" 0.767080467047146
"287" "BG01_ESC" "COM_1686" 0.64228967773849
"288" "BG01_ESC" "COM_1687" 0.741139942083777
"289" "BG01_ESC" "COM_1688" 0.713043399131497
"290" "BG01_ESC" "COM_169" 1.15275352263705
"291" "BG01_ESC" "COM_1690" 0.720318323768795
"292" "BG01_ESC" "COM_1691" 0.85030754553712
"293" "BG01_ESC" "COM_1693" 0.658771690109434
"294" "BG01_ESC" "COM_1694" 0.546167917112171
"295" "BG01_ESC" "COM_1698" 1.07241506698517
"296" "BG01_ESC" "COM_1699" 1.12018616480536
"297" "BG01_ESC" "COM_17" 0.970812990703258
"298" "BG01_ESC" "COM_1700" 0.564467412997373
"299" "BG01_ESC" "COM_1701" 0.663007130298826
"300" "BG01_ESC" "COM_1704" 0.639873134013894
"301" "BG01_ESC" "COM_1705" 0.875757226658989
"302" "BG01_ESC" "COM_1706" 0.599836611563591
"303" "BG01_ESC" "COM_171" 0.262501604918811
"304" "BG01_ESC" "COM_1712" 0.908177232965209
"305" "BG01_ESC" "COM_1713" 0.92597047462991
"306" "BG01_ESC" "COM_1714" 0.816626528569969
"307" "BG01_ESC" "COM_1715" 0.368798741495877
"308" "BG01_ESC" "COM_1716" 0.569779637249893
"309" "BG01_ESC" "COM_1717" 0.288255988433744
"310" "BG01_ESC" "COM_1718" 0.527527185816309
"311" "BG01_ESC" "COM_172" 0.271808908541816
"312" "BG01_ESC" "COM_1720" 1.06702086215295
"313" "BG01_ESC" "COM_1723" 1.23158383560473
"314" "BG01_ESC" "COM_1724" 0.502747450680478
"315" "BG01_ESC" "COM_1725" 0.399084177605961
"316" "BG01_ESC" "COM_1726" 0.580961420611029
"317" "BG01_ESC" "COM_1727" 0.613025808734113
"318" "BG01_ESC" "COM_1728" 0.577084324533458
"319" "BG01_ESC" "COM_173" 1.83536604518969
"320" "BG01_ESC" "COM_1736" 0.735307344121039
"321" "BG01_ESC" "COM_1738" 1.02550143744038
"322" "BG01_ESC" "COM_1740" 1.06417749407044
"323" "BG01_ESC" "COM_1741" 0.608653641225728
"324" "BG01_ESC" "COM_1742" 0.816131749996561
"325" "BG01_ESC" "COM_1744" 0.255865510617131
"326" "BG01_ESC" "COM_1749" 0.191303063198462
"327" "BG01_ESC" "COM_175" 0.921265090048562
"328" "BG01_ESC" "COM_1750" 0.780688112166331
"329" "BG01_ESC" "COM_1751" 0.238282797842674
"330" "BG01_ESC" "COM_1753" 0.668777488377414
"331" "BG01_ESC" "COM_1754" 0.750802998583731
"332" "BG01_ESC" "COM_1755" 1.03065976556119
"333" "BG01_ESC" "COM_1759" 1.11270576900931
"334" "BG01_ESC" "COM_176" 0.957781663960388
"335" "BG01_ESC" "COM_1761" 1.5659482484305
"336" "BG01_ESC" "COM_1764" 0.526743545265634
"337" "BG01_ESC" "COM_1765" 0.690098968715173
"338" "BG01_ESC" "COM_1766" 0.447136300775347
"339" "BG01_ESC" "COM_1767" 0.649059384640211
"340" "BG01_ESC" "COM_1768" 1.04569308573736
"341" "BG01_ESC" "COM_177" 0.392640835483692
"342" "BG01_ESC" "COM_1771" 0.761876703686655
"343" "BG01_ESC" "COM_1772" 0.583632958154208
"344" "BG01_ESC" "COM_1773" 0.547134193562761
"345" "BG01_ESC" "COM_1779" 0.63047228204347
"346" "BG01_ESC" "COM_178" 1.03572215960498
"347" "BG01_ESC" "COM_1780" NA
"348" "BG01_ESC" "COM_1781" 1.38513866353605
"349" "BG01_ESC" "COM_1782" 0.888054106506677
"350" "BG01_ESC" "COM_1783" 0.523034097333193
"351" "BG01_ESC" "COM_1784" 1.40729704010034
"352" "BG01_ESC" "COM_179" 0.988786509399184
"353" "BG01_ESC" "COM_180" 1.76103163027675
"354" "BG01_ESC" "COM_181" 1.41396870887305
"355" "BG01_ESC" "COM_185" 1.02759330883281
"356" "BG01_ESC" "COM_187" 0.658585647804289
"357" "BG01_ESC" "COM_191" 0.458638261360584
"358" "BG01_ESC" "COM_193" 0.195170020765207
"359" "BG01_ESC" "COM_194" 0.0988949746041314
"360" "BG01_ESC" "COM_195" 0.76649029458161
"361" "BG01_ESC" "COM_196" 0.740791065115187
"362" "BG01_ESC" "COM_197" 0.602224768172077
"363" "BG01_ESC" "COM_199" 0.857449801671064
"364" "BG01_ESC" "COM_200" 0.12334411662182
"365" "BG01_ESC" "COM_201" 0.705470872963171
"366" "BG01_ESC" "COM_202" 0.913293756430979
"367" "BG01_ESC" "COM_205" 0.34275613727185
"368" "BG01_ESC" "COM_209" 0.202393520101283
"369" "BG01_ESC" "COM_211" 0.481251942807413
"370" "BG01_ESC" "COM_215" 1.64318379352916
"371" "BG01_ESC" "COM_216" 1.69633071700788
"372" "BG01_ESC" "COM_218" 0.433970291012149
"373" "BG01_ESC" "COM_22" 0.578897372699278
"374" "BG01_ESC" "COM_220" 0.778558371225999
"375" "BG01_ESC" "COM_221" 0.552825824287617
"376" "BG01_ESC" "COM_222" 0.600248062308184
"377" "BG01_ESC" "COM_223" 0.834347749983898
"378" "BG01_ESC" "COM_224" 1.04589137831631
"379" "BG01_ESC" "COM_226" 1.29120663687146
"380" "BG01_ESC" "COM_227" 0.111893337796869
"381" "BG01_ESC" "COM_2272" 0.798815984127692
"382" "BG01_ESC" "COM_2273" 0.691420632785522
"383" "BG01_ESC" "COM_2275" 0.806878516226216
"384" "BG01_ESC" "COM_2276" 1.19378005600436
"385" "BG01_ESC" "COM_2279" 1.15591848139453
"386" "BG01_ESC" "COM_228" 0.191538010036872
"387" "BG01_ESC" "COM_2280" 0.737748833926895
"388" "BG01_ESC" "COM_2282" 0.776893837087034
"389" "BG01_ESC" "COM_2283" 0.840203725297094
"390" "BG01_ESC" "COM_2286" 0.437759205741628
"391" "BG01_ESC" "COM_2287" 0.461481546466109
"392" "BG01_ESC" "COM_2288" 0.454993982892829
"393" "BG01_ESC" "COM_229" 0.751284976125049
"394" "BG01_ESC" "COM_2291" NA
"395" "BG01_ESC" "COM_2293" 0.453746596364241
"396" "BG01_ESC" "COM_2294" 0.858040577191923
"397" "BG01_ESC" "COM_2295" 0.998043509963295
"398" "BG01_ESC" "COM_2296" 0.918177939264126
"399" "BG01_ESC" "COM_2298" 0.508211291577875
"400" "BG01_ESC" "COM_2299" 0.596780850202391
"401" "BG01_ESC" "COM_230" 1.56297003803332
"402" "BG01_ESC" "COM_2300" 0.609767076165777
"403" "BG01_ESC" "COM_2301" 0.67451911696986
"404" "BG01_ESC" "COM_2302" 0.734288808835722
"405" "BG01_ESC" "COM_2303" 0.561554688508635
"406" "BG01_ESC" "COM_2304" 0.4643452911662
"407" "BG01_ESC" "COM_2305" 0.211868251646497
"408" "BG01_ESC" "COM_2306" 0.954343198660983
"409" "BG01_ESC" "COM_2307" 0.430011055569443
"410" "BG01_ESC" "COM_2308" 1.06585031514305
"411" "BG01_ESC" "COM_2309" 0.425668872371889
"412" "BG01_ESC" "COM_231" 0.50021727250753
"413" "BG01_ESC" "COM_2310" 0.286469749351395
"414" "BG01_ESC" "COM_2311" 0.7042733908091
"415" "BG01_ESC" "COM_2312" 1.40854512127556
"416" "BG01_ESC" "COM_2316" 0.872915790028668
"417" "BG01_ESC" "COM_2317" 0.961151233267515
"418" "BG01_ESC" "COM_2319" 1.14180305468891
"419" "BG01_ESC" "COM_232" 0.336170652930804
"420" "BG01_ESC" "COM_2321" 0.419815849178553
"421" "BG01_ESC" "COM_2322" 0.93523114824374
"422" "BG01_ESC" "COM_2323" 0.820047357752649
"423" "BG01_ESC" "COM_2325" 1.00598944612702
"424" "BG01_ESC" "COM_2327" 0.569861313562785
"425" "BG01_ESC" "COM_2328" 0.92193402108854
"426" "BG01_ESC" "COM_2329" 0.936863450196702
"427" "BG01_ESC" "COM_2330" 1.36780546641597
"428" "BG01_ESC" "COM_2331" 0.887042534247197
"429" "BG01_ESC" "COM_2332" 0.82355995542525
"430" "BG01_ESC" "COM_2335" 0.229939200246779
"431" "BG01_ESC" "COM_2337" 0.464244331727526
"432" "BG01_ESC" "COM_2338" 0.982098352869274
"433" "BG01_ESC" "COM_2339" 0.917094741965493
"434" "BG01_ESC" "COM_234" 1.15405175003787
"435" "BG01_ESC" "COM_2341" 0.442756600925984
"436" "BG01_ESC" "COM_2342" 1.06746165504784
"437" "BG01_ESC" "COM_2343" 1.42204014568207
"438" "BG01_ESC" "COM_2344" 1.09502395165067
"439" "BG01_ESC" "COM_2345" 0.812893815781306
"440" "BG01_ESC" "COM_2346" 1.30191453867072
"441" "BG01_ESC" "COM_2347" 0.765702555127058
"442" "BG01_ESC" "COM_2349" 1.27258472980048
"443" "BG01_ESC" "COM_235" 1.36504944242492
"444" "BG01_ESC" "COM_2350" 1.37798301808894
"445" "BG01_ESC" "COM_2351" 1.18697123902604
