Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KIAA1239	96.1209998	100.0563528	127.7922729	95.5702856	98.16611154	130.7001315	95.18995545
KIAA1244	191.2237955	132.0249421	138.6762592	607.6626742	131.944981	250.9073996	239.3462736
KIAA1245	105.1025488	106.4896679	102.3769798	103.8502879	102.3253542	104.4377999	102.2010281
KIAA1257	100.757528	96.23077186	101.2233891	98.72294374	102.1107441	105.3491142	100.6011254
KIAA1267	696.2060998	650.7869394	948.0593058	784.0075324	783.9312534	985.8349511	669.4486238
KIAA1271	133.5077773	122.8201099	150.045378	126.9502769	124.5777901	122.2512434	120.887702
KIAA1274	164.6097262	252.6005592	193.9647577	162.5325886	268.9599622	154.784688	435.6150159
KIAA1276	121.2092423	122.8657671	115.9114609	114.107412	119.234164	109.2667151	122.0220701
KIAA1279	318.4792928	331.5940769	318.6827576	387.6608405	319.8894786	423.2322351	416.3612011
KIAA1285	180.799173	195.4779521	198.7815597	183.8117803	192.7723766	187.2623912	183.2672719
KIAA1310	2618.640797	1837.381609	2816.96635	2579.470195	2025.125851	3362.495799	1740.26739
KIAA1324	100.6142789	120.4891327	118.4687028	389.6250734	319.9446216	877.8044466	98.336429
KIAA1324L	453.9708221	835.9017342	420.7726681	866.618994	780.1726448	866.9196522	622.2556284
KIAA1328	139.3223677	153.2034771	153.9690141	137.9682709	172.3598097	148.3602523	132.3722694
KIAA1333	174.7052069	510.1075213	257.6565404	226.0927527	444.4489276	201.5593629	447.0615779
KIAA1345	104.2613388	122.6496044	112.4582596	98.91336172	113.6294507	104.4785971	148.0124239
KIAA1370	408.8362906	263.0413756	437.7964175	773.977945	287.8450691	832.4349663	183.7180616
KIAA1377	104.5526464	104.9444137	101.3108638	121.9594613	103.9056874	126.8433404	101.0118193
KIAA1383	165.7535876	155.4372092	152.0466029	184.4329062	179.0935363	241.3187106	163.8145693
KIAA1407	142.8422782	129.9061867	134.5731006	187.2608419	142.4979402	287.9784789	103.7810039
KIAA1409	99.21724211	143.8214129	95.93351643	112.4376334	99.74569246	97.77422083	114.6630062
KIAA1429	349.0278914	314.8132328	351.6064325	323.3420612	350.1696912	347.0133717	334.8037862
KIAA1430	211.035945	243.3445041	170.1271301	179.4260413	256.6595962	203.3105732	251.6518179
KIAA1432	116.5275975	114.7698402	121.5561168	110.9743966	113.4913945	118.4333723	114.0624567
KIAA1462	113.1130539	115.2487291	113.5871041	122.718659	117.6685263	114.0301365	116.8903563
KIAA1467	166.9333665	251.6461914	175.147763	237.2278822	244.0040339	202.1950536	338.0384146
KIAA1468	346.318143	280.9892961	487.6354862	338.9255984	327.7971076	402.2679721	329.8743482
KIAA1486	104.400868	111.7026151	111.9048515	104.596901	106.1750967	111.3891364	106.9417131
KIAA1522	521.17062	278.1398191	504.1433007	570.4403981	359.0955669	638.9299794	372.960005
KIAA1524	111.3227043	167.1177613	116.6787571	112.5617366	147.813155	107.0317133	176.68957
